Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
URBAN,URB093,Hoxton Extra Wide Plank,Hoxton,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB094,Hoxton Herringbone,Hoxton,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB091,Hoxton Narrow Plank,Hoxton,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB092,Hoxton Plank,Hoxton,Plank   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB090,Kentish Chevron,Kentish,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges, FSC® Mix Credit
URBAN,URB088,Kentish Extra Wide Plank,Kentish,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB089,Kentish Herringbone,Kentish,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB086,Kentish Narrow Plank,Kentish,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB087,Kentish Plank,Kentish,Plank   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB075,Manhattan Chevron,Manhattan,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges, FSC® Mix Credit
URBAN,URB073,Manhattan Extra Wide Plank,Manhattan,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB074,Manhattan Herringbone,Manhattan,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB071,Manhattan Narrow Plank,Manhattan,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
