Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
SUPERFINE,NAUTI012.15m-22,Distorsio Extra Wide Plank,Distorsio,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI012.15m-26,Distorsio Extra Wide Plank,Distorsio,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI017,Japelion Extra Wide Plank,Japelion,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Burnished Hardwax Oil Satin",Micro Bevel,FSC® 100%
SUPERFINE,NAUTI019,Jopas Extra Wide Plank,Jopas,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Burnished Hardwax Oil Matt",Micro Bevel,FSC® 100%
SUPERFINE,NAUTI014,Lyria Extra Wide Plank,Lyria,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI014.15m-22,Lyria Extra Wide Plank,Lyria,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI014.15m-26,Lyria Extra Wide Plank,Lyria,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI001,Melo Extra Wide Plank,Melo,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI001.15m-22,Melo Extra Wide Plank,Melo,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI001.15m-26,Melo Extra Wide Plank,Melo,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
